prop_id,req_url,lat,lon,esti_price_sq_meter
4148638044,"http://cenovamapa.eu/?do=getprice&p=(50.0703868022472, 14.4165424473613)&zoom=12&t=byty-prodej",50.0703868022472,14.4165424473613,42432
1670844764,"http://cenovamapa.eu/?do=getprice&p=(50.0697727803, 14.4345867746)&zoom=12&t=byty-prodej",50.0697727803,14.4345867746,69330
2143625564,"http://cenovamapa.eu/?do=getprice&p=(50.0771192055296, 14.475838054489)&zoom=12&t=byty-prodej",50.0771192055296,14.475838054489,54388
2059153756,"http://cenovamapa.eu/?do=getprice&p=(50.1524491545655, 14.5299229838461)&zoom=12&t=byty-prodej",50.1524491545655,14.5299229838461,50867
1750339932,"http://cenovamapa.eu/?do=getprice&p=(50.077994, 14.406175)&zoom=12&t=byty-prodej",50.077994,14.406175,49921
1373225308,"http://cenovamapa.eu/?do=getprice&p=(50.07825, 14.432417)&zoom=12&t=byty-prodej",50.07825,14.432417,80635
1007489372,"http://cenovamapa.eu/?do=getprice&p=(50.1353702486606, 14.4723619437315)&zoom=12&t=byty-prodej",50.1353702486606,14.4723619437315,57501
1762660700,"http://cenovamapa.eu/?do=getprice&p=(50.1038485337026, 14.4318317631335)&zoom=12&t=byty-prodej",50.1038485337026,14.4318317631335,47286
3011907932,"http://cenovamapa.eu/?do=getprice&p=(50.0538898211354, 14.3662336266487)&zoom=12&t=byty-prodej",50.0538898211354,14.3662336266487,58704
523379036,"http://cenovamapa.eu/?do=getprice&p=(50.0333824720451, 14.3759197583683)&zoom=12&t=byty-prodej",50.0333824720451,14.3759197583683,55342
1774915932,"http://cenovamapa.eu/?do=getprice&p=(50.063639, 14.473661)&zoom=12&t=byty-prodej",50.063639,14.473661,42375
3136033116,"http://cenovamapa.eu/?do=getprice&p=(50.0413359981, 14.5585184617)&zoom=12&t=byty-prodej",50.0413359981,14.5585184617,40957
240525660,"http://cenovamapa.eu/?do=getprice&p=(50.077994, 14.406175)&zoom=12&t=byty-prodej",50.077994,14.406175,38395
3667140956,"http://cenovamapa.eu/?do=getprice&p=(50.0835493857, 14.4341412988)&zoom=12&t=byty-prodej",50.0835493857,14.4341412988,80635
797188444,"http://cenovamapa.eu/?do=getprice&p=(49.9730453, 14.4319725)&zoom=12&t=byty-prodej",49.9730453,14.4319725,54772
2822779228,"http://cenovamapa.eu/?do=getprice&p=(50.0355796813965, 14.4149799346924)&zoom=12&t=byty-prodej",50.0355796813965,14.4149799346924,48039
613212508,"http://cenovamapa.eu/?do=getprice&p=(50.104139, 14.471583)&zoom=12&t=byty-prodej",50.104139,14.471583,58413
2113147228,"http://cenovamapa.eu/?do=getprice&p=(50.0322504533096, 14.5598496315195)&zoom=12&t=byty-prodej",50.0322504533096,14.5598496315195,39451
4125167964,"http://cenovamapa.eu/?do=getprice&p=(50.1390509942098, 14.5081277591983)&zoom=12&t=byty-prodej",50.1390509942098,14.5081277591983,41383
1366630748,"http://cenovamapa.eu/?do=getprice&p=(50.1036, 14.5093)&zoom=12&t=byty-prodej",50.1036,14.5093,49641
3534627164,"http://cenovamapa.eu/?do=getprice&p=(50.061905, 14.361744)&zoom=12&t=byty-prodej",50.061905,14.361744,53692
413147484,"http://cenovamapa.eu/?do=getprice&p=(50.0907382234861, 14.4763661512891)&zoom=12&t=byty-prodej",50.0907382234861,14.4763661512891,68092
2116165980,"http://cenovamapa.eu/?do=getprice&p=(50.0827350583621, 14.3776751901753)&zoom=12&t=byty-prodej",50.0827350583621,14.3776751901753,45686
988615004,"http://cenovamapa.eu/?do=getprice&p=(50.0767405986108, 14.4660249307313)&zoom=12&t=byty-prodej",50.0767405986108,14.4660249307313,82914
2119577948,"http://cenovamapa.eu/?do=getprice&p=(50.1106030456065, 14.5174803249774)&zoom=12&t=byty-prodej",50.1106030456065,14.5174803249774,50867
31134044,"http://cenovamapa.eu/?do=getprice&p=(50.0675587525495, 14.3694092424157)&zoom=12&t=byty-prodej",50.0675587525495,14.3694092424157,48625
3694604636,"http://cenovamapa.eu/?do=getprice&p=(50.07825, 14.432417)&zoom=12&t=byty-prodej",50.07825,14.432417,64370
3332051292,"http://cenovamapa.eu/?do=getprice&p=(50.0710198524665, 14.3875086288987)&zoom=12&t=byty-prodej",50.0710198524665,14.3875086288987,57501
1153311068,"http://cenovamapa.eu/?do=getprice&p=(50.108197, 14.601911)&zoom=12&t=byty-prodej",50.108197,14.601911,70179
1867452764,"http://cenovamapa.eu/?do=getprice&p=(50.0382574326421, 14.5123182956785)&zoom=12&t=byty-prodej",50.0382574326421,14.5123182956785,55569
517194076,"http://cenovamapa.eu/?do=getprice&p=(50.0690498352051, 14.3520002365112)&zoom=12&t=byty-prodej",50.0690498352051,14.3520002365112,35034
2410352988,"http://cenovamapa.eu/?do=getprice&p=(50.1569546038798, 14.5216994961897)&zoom=12&t=byty-prodej",50.1569546038798,14.5216994961897,59302
659226972,"http://cenovamapa.eu/?do=getprice&p=(50.0545688753131, 14.4950275817125)&zoom=12&t=byty-prodej",50.0545688753131,14.4950275817125,49921
2124091740,"http://cenovamapa.eu/?do=getprice&p=(50.042974318643, 14.4944731025765)&zoom=12&t=byty-prodej",50.042974318643,14.4944731025765,41291
2352812380,"http://cenovamapa.eu/?do=getprice&p=(50.0442228076728, 14.3226035460291)&zoom=12&t=byty-prodej",50.0442228076728,14.3226035460291,35653
211034460,"http://cenovamapa.eu/?do=getprice&p=(50.0835493857, 14.4341412988)&zoom=12&t=byty-prodej",50.0835493857,14.4341412988,37948
